item,skill,market,x,y
fastaval,bottle,movie,1,1
fastaval,workerIncome,movie,2,1
fastaval,workerCard,movie,3,1
fastaval,auctionIncome,movie,1,2
fastaval,bottle,figures,2,2
fastaval,workerIncome,figures,3,2
fastaval,workerCard,figures,1,3
fastaval,auctionIncome,figures,2,3
fastaval,bottle,music,3,3
fastaval,VP-all,music,4,1
fastaval,bottle,technology,5,1
fastaval,VP-music,technology,6,1
fastaval,bottle,music,4,2
fastaval,bottle,technology,5,2
fastaval,workerIncome,music,6,2
fastaval,workerCard,music,4,3
fastaval,auctionIncome,technology,5,3
fastaval,VP-figures,technology,6,3
movie,auctionIncome,music,7,1
movie,bottle,technology,8,1
movie,VP-music,technology,9,1
movie,bottle,fastaval,7,2
movie,bottle,technology,8,2
movie,workerIncome,fastaval,9,2
movie,workerCard,fastaval,7,3
movie,auctionIncome,technology,8,3
movie,VP-fastaval,technology,9,3
movie,bottle,fastaval,10,1
movie,VP-all,fastaval,11,1
movie,bottle,figures,12,1
movie,workerIncome,figures,10,2
movie,workerCard,figures,11,2
movie,auctionIncome,figures,12,2
movie,bottle,music,10,3
movie,workerIncome,music,11,3
movie,workerCard,music,12,3
technology,VP-all,figures,13,1
technology,bottle,music,14,1
technology,VP-figures,music,15,1
technology,bottle,figures,13,2
technology,bottle,music,14,2
technology,workerIncome,figures,15,2
technology,workerCard,figures,13,3
technology,auctionIncome,music,14,3
technology,VP-movie,music,15,3
technology,bottle,fastaval,16,1
technology,workerIncome,fastaval,17,1
technology,workerCard,fastaval,18,1
technology,auctionIncome,fastaval,16,2
technology,bottle,movie,17,2
technology,workerIncome,movie,18,2
technology,workerCard,movie,16,3
technology,auctionIncome,movie,17,3
technology,bottle,figures,18,3
figures,bottle,music,19,1
figures,workerIncome,music,20,1
figures,bottle,fastaval,21,1
figures,VP-all,fastaval,19,2
figures,bottle,movie,20,2
figures,VP-technology,movie,21,2
figures,workerCard,music,19,3
figures,auctionIncome,music,20,3
figures,bottle,technology,21,3
figures,workerIncome,technology,22,1
figures,workerCard,technology,23,1
figures,auctionIncome,technology,24,1
figures,bottle,fastaval,22,2
figures,bottle,movie,23,2
figures,workerIncome,fastaval,24,2
figures,workerCard,fastaval,22,3
figures,auctionIncome,movie,23,3
figures,VP-fastaval,movie,24,3
music,bottle,technology,25,1
music,workerIncome,technology,26,1
music,bottle,fastaval,27,1
music,workerIncome,fastaval,25,2
music,workerCard,fastaval,26,2
music,auctionIncome,fastaval,27,2
music,bottle,movie,25,3
music,VP-all,movie,26,3
music,bottle,figures,27,3
music,VP-technology,figures,28,1
music,workerCard,technology,29,1
music,auctionIncome,technology,30,1
music,bottle,movie,28,2
music,bottle,figures,29,2
music,workerIncome,movie,30,2
music,workerCard,movie,28,3
music,auctionIncome,figures,29,3
music,VP-movie,figures,30,3